gene,entities,proposed_label,mode_of_inheritance,criteria_met,reasoning,decision
BPTF,"['Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies', 'Disease-causing germline mutation(s) in BPTF-related intellectual disability-facial dysmorphism-skeletal anomalies syndrome']",Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies,Autosomal dominant,"['assertions', 'molecular_mechanism', 'phenotypic_variability', 'mode_of_inheritance']",OMIM and Orphanet describe the same developmental syndrome due to BPTF haploinsufficiency with variable expressivity; hence they represent a single entity.,LUMP
BPTF,"['Kaposi sarcoma, susceptibility to']","Kaposi sarcoma, susceptibility to",Autosomal dominant,"['assertions', 'molecular_mechanism', 'phenotypic_variability']",OMIM reports a distinct phenotype (tumor susceptibility without neurodevelopmental features) associated with a specific missense change and different functional effects.,SPLIT
BPTF,['Role in the phenotype of 17q24.2 microdeletion syndrome'],Role in the phenotype of 17q24.2 microdeletion syndrome,Unknown/unclear,['assertions'],Orphanet lists BPTF as contributory within a contiguous gene deletion syndrome rather than as a standalone monogenic BPTF disorder.,SPLIT
CAV3,"['Rippling muscle disease 2', 'Myopathy, distal, Tateyama type', 'Creatine phosphokinase, elevated serum']",Rippling muscle disease 2,Autosomal dominant,"['assertions', 'phenotypic_variability']","OMIM describes skeletal caveolinopathies as a clinical continuum with overlapping presentations and shared loss/mislocalization of CAV3; the same variants can cause rippling, distal myopathy, or isolated hyperCKemia.",LUMP
CAV3,['Long QT syndrome 9'],Long QT syndrome 9,Autosomal dominant,"['molecular_mechanism', 'assertions']",Cardiac channelopathy with gain-of-function effect on late sodium current is mechanistically and clinically distinct from skeletal caveolinopathies.,SPLIT
CAV3,"['Cardiomyopathy, familial hypertrophic']","Cardiomyopathy, familial hypertrophic",Autosomal dominant,"['assertions', 'phenotypic_variability']",Listed by OMIM as a separate phenotype with families lacking skeletal muscle signs; clinical management and organ system differ from both skeletal spectrum and LQT9.,SPLIT
CRYAB,"['Cataract 16, multiple types', 'Early-onset nuclear cataract', 'Early-onset posterior polar cataract', 'Early-onset lamellar cataract']","Cataract 16, multiple types",Unknown/unclear,"['assertions_made', 'phenotypic_variability']",OMIM consolidates multiple cataract morphologies under CTRCT16 and Orphanet lists specific early-onset cataract subtypes; these represent lens-only disease with overlapping mechanisms and presentation.,LUMP
CRYAB,"['Myopathy, myofibrillar, 2A, adult-onset', 'Alpha-B crystallin-related late-onset myopathy']","Myopathy, myofibrillar, 2A, adult-onset",Autosomal dominant,"['assertions_made', 'mode_of_inheritance']",OMIM and Orphanet describe the same adult-onset CRYAB-related myofibrillar myopathy entity with AD inheritance; Orphanet label is a synonymic framing.,LUMP
CRYAB,"['Myopathy, myofibrillar, 2B, infantile-onset', 'Fatal infantile hypertonic myofibrillar myopathy']","Myopathy, myofibrillar, 2B, infantile-onset",Autosomal recessive,"['assertions_made', 'molecular_mechanism', 'mode_of_inheritance']","Both sources describe a severe infantile, hypertonic, rapidly fatal myofibrillar myopathy due to homozygous truncating CRYAB variants with LOF and AR inheritance.",LUMP
CRYAB,"['Cardiomyopathy, dilated, 1II', 'Familial isolated dilated cardiomyopathy']","Cardiomyopathy, dilated, 1II",Autosomal dominant,"['assertions_made', 'mode_of_inheritance']","OMIM and Orphanet both recognize CRYAB-associated isolated dilated cardiomyopathy as a distinct, predominantly AD entity.",LUMP
